Activiti/Activiti,b11f757,./activiti-spring-boot-starter,4,{'0', '5', '7', '1'},{'0', '5', '7', '1'},16,15,16
Apache/Struts,13d9053,./plugins/portlet,3,{'2', '3'},{'0'},4,4,4
alibaba/fastjson,5c6d6fd,.,2,{'0'},{'1152'},2,2,2
apache/dubbo,737f7a7,./dubbo-cluster,3,{'0'},{'2', '3'},3,3,3
apache/dubbo,737f7a7,./dubbo-common,2,{'4'},{'0'},1,1,1
apache/dubbo,737f7a7,./dubbo-config/dubbo-config-api,22,{'0', '2'},{'9', '0', '10', '14', '11', '4', '18', '22', '20', '21', '16', '2', '6', '17', '8', '5', '15', '3', '7', '19', '12', '13'},37,22,37
apache/dubbo,737f7a7,./dubbo-filter/dubbo-filter-cache,2,{'0'},{'1'},1,1,1
apache/dubbo,737f7a7,./dubbo-rpc/dubbo-rpc-api,2,{'1'},{'0'},2,2,2
apache/dubbo,737f7a7,./dubbo-rpc/dubbo-rpc-dubbo,3,{'0'},{'2', '1'},2,2,2
apache/dubbo,737f7a7,./dubbo-serialization/dubbo-serialization-fst,2,{'0'},{'1'},1,1,1
apache/hadoop,cc2babc,./hadoop-common-project/hadoop-auth,2,{'5'},{'0'},1,1,1
apache/hadoop,cc2babc,./hadoop-hdfs-project/hadoop-hdfs-nfs,5,{'0', '3', '7', '6'},{'0', '1'},28,28,28
apache/hadoop,cc2babc,./hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app,2,{'0', '1'},{'0', '1'},4,4,4
apache/hadoop,cc2babc,./hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-core,3,{'0', '14'},{'0', '1'},5,5,5
apache/hadoop,cc2babc,./hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-hs,2,{'9'},{'0'},2,2,2
c2mon/c2mon,d80687b,./c2mon-server/c2mon-server-elasticsearch,2,{'0'},{'4'},1,1,1
ctco/cukes,b483e1a,./cukes-http,2,{'0'},{'1'},1,1,1
doanduyhai/Achilles,e3099bd,./integration-test-2_1,9,{'7', '9', '1', '0', '8', '10', '4', '3', '13'},{'0', '1'},9,9,9
doanduyhai/Achilles,e3099bd,./integration-test-2_2,4,{'2', '3', '1'},{'0'},3,7,7
doanduyhai/Achilles,e3099bd,./integration-test-3_10,3,{'2', '1'},{'0'},2,2,2
doanduyhai/Achilles,e3099bd,./integration-test-3_7,False,{'0'},{'0'},1,5,6
dropwizard/dropwizard,07dfaed,./dropwizard-logging,False,{'0'},set(),1,0,1
elasticjob/elastic-job-lite,b022898,./elastic-job-lite-core,2,{'0', '75'},{'0', '75'},3,3,3
fhoeben/hsac-fitnesse-fixtures,a64c18d,.,2,{'0'},{'6'},1,1,1
hexagonframework/spring-data-ebean,dd11b97,.,False,{'0'},set(),1,0,1
jhipster/jhipster-registry,00db366,.,2,{'0'},{'2'},1,1,1
kevinsawicki/http-request,2d62a3e,./lib,2,{'0', '1'},{'0'},21,6,25
ktuukkan/marine-api,af00038,.,2,{'0'},{'9'},12,12,12
openpojo/openpojo,9badbcc,.,2,{'0'},{'80'},3,3,3
spring-projects/spring-boot,daa3d45,./spring-boot-project/spring-boot,3,{'0'},{'41', '92'},2,2,2
spring-projects/spring-boot,daa3d45,./spring-boot-project/spring-boot-actuator-autoconfigure,2,{'0', '3'},{'0', '3'},8,8,8
spring-projects/spring-boot,daa3d45,./spring-boot-project/spring-boot-test,2,{'0'},{'1'},1,1,1
spring-projects/spring-boot,daa3d45,./spring-boot-project/spring-boot-test-autoconfigure,2,{'1'},{'0'},4,4,4
spring-projects/spring-data-envers,5637994,.,False,{'0'},set(),2,0,2
spring-projects/spring-ws,e8d89c9,./spring-ws-core,12,{'31', '19', '20', '30', '0', '6', '33', '4', '18', '15', '13'},{'0', '1'},15,15,15
spring-projects/spring-ws,e8d89c9,./spring-ws-security,2,{'0'},{'32'},2,1,2
tbsalling/aismessages,7b0c4c7,.,3,{'0', '1'},{'0', '2'},2,2,2
tools4j/unix4j,367da7d,./unix4j-core/unix4j-command,2,{'0'},{'2'},1,1,1
vmware/admiral,e4b0293,./compute,2,{'0'},{'10'},1,1,1
vmware/admiral,e4b0293,./request,2,{'0'},{'1'},1,1,1
wikidata/wikidata-toolkit,20de6f7,./wdtk-dumpfiles,2,{'0'},{'2'},3,2,3
wikidata/wikidata-toolkit,20de6f7,./wdtk-util,2,{'0'},{'2'},2,2,2
wildfly/wildfly,b19048b,./naming,5,{'1', '0', '4', '2', '6'},{'0', '6'},44,43,44
wildfly/wildfly,b19048b,./security/subsystem,2,{'0'},{'4'},1,1,1
wro4j/wro4j,185ab60,./wro4j-core,3,{'0', '50'},{'0', '50', '1'},15,15,15
wso2/carbon-apimgt,a82213e,./components/apimgt/org.wso2.carbon.apimgt.core,False,{'0'},set(),1,0,1
zalando/riptide,8277e11,./riptide-spring-boot-starter,3,{'0'},{'3', '1'},2,2,2
