Activiti/Activiti,b11f757,./activiti-spring-boot-starter,4,{'1', '0', '152'},{'55', '0', '152'},16,16,16
apache/dubbo,737f7a7,./dubbo-cluster,3,{'0'},{'1', '16'},3,3,3
apache/dubbo,737f7a7,./dubbo-common,2,{'0'},{'1'},1,1,1
apache/dubbo,737f7a7,./dubbo-config/dubbo-config-api,18,{'1', '0'},{'22', '14', '26', '2', '20', '17', '0', '21', '8', '104', '124', '59', '7', '427', '1', '5', '54', '426'},37,18,37
apache/dubbo,737f7a7,./dubbo-filter/dubbo-filter-cache,False,set(),{'0'},0,1,1
apache/dubbo,737f7a7,./dubbo-rpc/dubbo-rpc-api,2,{'0'},{'5'},2,2,2
apache/dubbo,737f7a7,./dubbo-rpc/dubbo-rpc-dubbo,2,{'0'},{'32'},2,2,2
apache/dubbo,737f7a7,./dubbo-serialization/dubbo-serialization-fst,2,{'7'},{'0'},1,1,1
apache/hadoop,cc2babc,./hadoop-common-project/hadoop-auth,2,{'0'},{'4'},1,1,1
apache/hadoop,cc2babc,./hadoop-hdfs-project/hadoop-hdfs-nfs,2,{'1'},{'0'},28,28,28
apache/hadoop,cc2babc,./hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app,2,{'0'},{'262'},4,4,4
apache/hadoop,cc2babc,./hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-core,3,{'4', '0'},{'2', '0'},5,5,5
apache/hadoop,cc2babc,./hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-hs,2,{'0'},{'1'},2,2,2
Apache/Struts,13d9053,./plugins/portlet,3,{'1', '4'},{'0'},4,4,4
c2mon/c2mon,d80687b,./c2mon-server/c2mon-server-elasticsearch,2,{'0'},{'2'},1,1,1
ctco/cukes,b483e1a,./cukes-http,2,{'0'},{'4'},1,1,1
doanduyhai/Achilles,e3099bd,./integration-test-2_1,9,{'9', '2', '6', '10', '0', '3', '7', '5', '15'},{'0', '9'},9,9,9
doanduyhai/Achilles,e3099bd,./integration-test-2_2,8,{'11', '2', '12', '21', '7', '1', '6'},{'0'},7,7,7
doanduyhai/Achilles,e3099bd,./integration-test-3_10,3,{'2', '6'},{'0'},2,2,2
doanduyhai/Achilles,e3099bd,./integration-test-3_7,4,{'5', '0', '7', '6'},{'5', '0'},4,6,6
dropwizard/dropwizard,07dfaed,./dropwizard-logging,2,{'0'},{'17'},1,1,1
elasticjob/elastic-job-lite,b022898,./elastic-job-lite-core,2,{'0', '23'},{'0', '23'},3,3,3
fhoeben/hsac-fitnesse-fixtures,a64c18d,.,2,{'0'},{'6'},1,1,1
hexagonframework/spring-data-ebean,dd11b97,.,2,{'0'},{'9'},1,1,1
jhipster/jhipster-registry,00db366,.,False,set(),{'0'},0,1,1
kevinsawicki/http-request,2d62a3e,./lib,3,{'1', '0'},{'37', '0'},25,25,25
ktuukkan/marine-api,af00038,.,2,{'0'},{'20'},12,12,12
openpojo/openpojo,9badbcc,.,3,{'0', '1'},{'0', '8'},3,3,3
spring-projects/spring-boot,daa3d45,./spring-boot-project/spring-boot-actuator-autoconfigure,5,{'4', '2', '0', '8', '7'},{'0', '8'},8,8,8
spring-projects/spring-boot,daa3d45,./spring-boot-project/spring-boot-test,2,{'0'},{'3'},1,1,1
spring-projects/spring-boot,daa3d45,./spring-boot-project/spring-boot-test-autoconfigure,3,{'1', '0'},{'4', '0'},4,2,4
spring-projects/spring-data-envers,5637994,.,False,set(),set(),0,0,2
spring-projects/spring-ws,e8d89c9,./spring-ws-core,15,{'78', '73', '6', '49', '68', '40', '48', '0', '69', '59', '1', '97', '32', '76', '44'},{'1', '0'},15,15,15
spring-projects/spring-ws,e8d89c9,./spring-ws-security,False,{'0'},set(),2,0,2
tbsalling/aismessages,7b0c4c7,.,2,{'5'},{'0'},2,2,2
tools4j/unix4j,367da7d,./unix4j-core/unix4j-command,2,{'0'},{'3'},1,1,1
vmware/admiral,e4b0293,./compute,2,{'0'},{'4'},1,1,1
vmware/admiral,e4b0293,./request,2,{'8'},{'0'},1,1,1
wikidata/wikidata-toolkit,20de6f7,./wdtk-dumpfiles,3,{'1', '0'},{'0', '13'},3,3,3
wikidata/wikidata-toolkit,20de6f7,./wdtk-util,2,{'0'},{'3'},2,2,2
wildfly/wildfly,b19048b,./naming,3,{'7', '0'},{'10', '0'},44,44,44
wildfly/wildfly,b19048b,./security/subsystem,2,{'0'},{'19'},1,1,1
wro4j/wro4j,185ab60,./wro4j-core,5,{'2', '1', '3', '73', '0'},{'73', '0'},15,15,15
wso2/carbon-apimgt,a82213e,./components/apimgt/org.wso2.carbon.apimgt.core,2,{'1'},{'0'},1,1,1
zalando/riptide,8277e11,./riptide-spring-boot-starter,3,{'1', '0'},{'4', '0'},2,2,2
