# slug,sha,module,num_of_tests,num_of_test_classes,num_of_OD_tests,num_of_orders,num_of_detected_OD_tests,percent_of_detected_OD_tests,time_to_compute_orders
Activiti/Activiti,b11f757,./activiti-spring-boot-starter,45,11,16,1794,16,100.0,0.475
alibaba/fastjson,5c6d6fd,.,4953,2308,2,24501496,2,100.0,713.0641677
apache/dubbo,737f7a7,./dubbo-cluster,112,23,3,11244,3,100.0,1.331
apache/dubbo,737f7a7,./dubbo-common,520,70,1,261418,1,100.0,979.691
apache/dubbo,737f7a7,./dubbo-config/dubbo-config-api,263,23,37,64268,37,100.0,12.069
apache/dubbo,737f7a7,./dubbo-filter/dubbo-filter-cache,9,5,1,62,1,100.0,0.324
apache/dubbo,737f7a7,./dubbo-rpc/dubbo-rpc-api,60,23,2,3386,2,100.0,0.603
apache/dubbo,737f7a7,./dubbo-rpc/dubbo-rpc-dubbo,74,16,2,5036,2,100.0,0.636
apache/dubbo,737f7a7,./dubbo-serialization/dubbo-serialization-fst,21,4,1,224,1,100.0,0.302
apache/hadoop,cc2babc,./hadoop-common-project/hadoop-auth,125,22,1,14270,1,100.0,1.807
apache/hadoop,cc2babc,./hadoop-hdfs-project/hadoop-hdfs-nfs,64,12,28,3330,28,100.0,0.594
apache/hadoop,cc2babc,./hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app,394,49,4,148542,4,100.0,207.36
apache/hadoop,cc2babc,./hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-core,293,60,5,82814,5,100.0,112.592
apache/hadoop,cc2babc,./hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-hs,206,26,2,39500,2,100.0,9.216
Apache/Struts,13d9053,./plugins/portlet,61,12,4,3306,4,100.0,0.495
c2mon/c2mon,d80687b,./c2mon-server/c2mon-server-elasticsearch,19,11,1,312,1,100.0,0.619
ctco/cukes,b483e1a,./cukes-http,14,4,1,122,1,100.0,0.393
doanduyhai/Achilles,e3099bd,./integration-test-2_1,233,40,9,50658,9,100.0,26.407
doanduyhai/Achilles,e3099bd,./integration-test-2_2,23,4,7,382,7,100.0,0.388
doanduyhai/Achilles,e3099bd,./integration-test-3_10,24,3,2,286,2,100.0,0.401
doanduyhai/Achilles,e3099bd,./integration-test-3_7,6,1,6,6,6,100.0,0.36
dropwizard/dropwizard,07dfaed,./dropwizard-logging,80,18,1,5640,1,100.0,1.015
elasticjob/elastic-job-lite,b022898,./elastic-job-lite-core,511,98,3,256130,3,100.0,1513.626
fhoeben/hsac-fitnesse-fixtures,a64c18d,.,251,49,1,60816,1,100.0,35.587
hexagonframework/spring-data-ebean,dd11b97,.,48,2,1,574,1,100.0,0.376
jhipster/jhipster-registry,00db366,.,53,14,1,2572,1,100.0,0.672
kevinsawicki/http-request,2d62a3e,./lib,163,2,25,644,25,100.0,1.343
ktuukkan/marine-api,af00038,.,926,71,12,841810,12,100.0,3066.705
openpojo/openpojo,9badbcc,.,1185,213,3,1392896,3,100.0,85008.976
spring-projects/spring-boot,daa3d45,./spring-boot-project/spring-boot-actuator-autoconfigure,733,166,8,531042,8,100.0,11438.053
spring-projects/spring-boot,daa3d45,./spring-boot-project/spring-boot,2255,230,2,5015642,2,100.0,696543.769
spring-projects/spring-boot,daa3d45,./spring-boot-project/spring-boot-test-autoconfigure,234,103,4,53474,4,100.0,124.831
spring-projects/spring-boot,daa3d45,./spring-boot-project/spring-boot-test,721,115,1,472332,1,100.0,8694.726
spring-projects/spring-data-envers,5637994,.,10,4,2,58,2,100.0,0.358
spring-projects/spring-ws,e8d89c9,./spring-ws-core,971,145,15,932108,15,100.0,22681.735
spring-projects/spring-ws,e8d89c9,./spring-ws-security,122,43,2,14452,2,100.0,3.469
tbsalling/aismessages,7b0c4c7,.,44,18,2,1788,2,100.0,0.395
tools4j/unix4j,367da7d,./unix4j-core/unix4j-command,290,30,1,79464,1,100.0,21.84
vmware/admiral,e4b0293,./compute,488,74,1,232368,1,100.0,684.318
vmware/admiral,e4b0293,./request,325,49,1,101578,1,100.0,76.738
wikidata/wikidata-toolkit,20de6f7,./wdtk-dumpfiles,50,9,3,2116,3,100.0,0.413
wikidata/wikidata-toolkit,20de6f7,./wdtk-util,23,5,2,412,2,100.0,0.312
wildfly/wildfly,b19048b,./naming,82,11,44,5712,44,100.0,0.625
wildfly/wildfly,b19048b,./security/subsystem,25,10,1,554,1,100.0,0.514
wro4j/wro4j,185ab60,./wro4j-core,851,137,15,713822,15,100.0,12111.886
wso2/carbon-apimgt,a82213e,./components/apimgt/org.wso2.carbon.apimgt.core,530,46,1,237882,1,100.0,457.157326072
zalando/riptide,8277e11,./riptide-spring-boot-starter,40,25,2,1512,2,100.0,0.752
