# slug,sha,module,num_of_tests,num_of_test_classes,num_of_OD_tests,num_of_orders,num_of_detected_OD_tests,percent_of_detected_OD_tests
Activiti/Activiti,b11f757,./activiti-spring-boot-starter,45,11,16,11,15,93.75
Apache/Struts,13d9053,./plugins/portlet,61,12,4,12,4,100.0
alibaba/fastjson,5c6d6fd,.,4953,2308,2,2308,2,100.0
apache/dubbo,737f7a7,./dubbo-cluster,112,23,3,27,3,100.0
apache/dubbo,737f7a7,./dubbo-common,520,70,1,70,1,100.0
apache/dubbo,737f7a7,./dubbo-config/dubbo-config-api,263,23,37,38,37,100.0
apache/dubbo,737f7a7,./dubbo-filter/dubbo-filter-cache,9,5,1,6,1,100.0
apache/dubbo,737f7a7,./dubbo-rpc/dubbo-rpc-api,60,23,2,23,2,100.0
apache/dubbo,737f7a7,./dubbo-rpc/dubbo-rpc-dubbo,74,16,2,16,2,100.0
apache/dubbo,737f7a7,./dubbo-serialization/dubbo-serialization-fst,21,4,1,14,1,100.0
apache/hadoop,cc2babc,./hadoop-common-project/hadoop-auth,125,22,1,26,1,100.0
apache/hadoop,cc2babc,./hadoop-hdfs-project/hadoop-hdfs-nfs,64,12,28,22,28,100.0
apache/hadoop,cc2babc,./hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app,394,49,4,49,4,100.0
apache/hadoop,cc2babc,./hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-core,293,60,5,60,5,100.0
apache/hadoop,cc2babc,./hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-hs,206,26,2,26,2,100.0
c2mon/c2mon,d80687b,./c2mon-server/c2mon-server-elasticsearch,19,11,1,11,1,100.0
ctco/cukes,b483e1a,./cukes-http,14,4,1,6,1,100.0
doanduyhai/Achilles,e3099bd,./integration-test-2_1,233,40,9,40,9,100.0
doanduyhai/Achilles,e3099bd,./integration-test-2_2,23,4,7,8,7,100.0
doanduyhai/Achilles,e3099bd,./integration-test-3_10,24,3,2,16,2,100.0
doanduyhai/Achilles,e3099bd,./integration-test-3_7,6,1,6,6,6,100.0
dropwizard/dropwizard,07dfaed,./dropwizard-logging,80,18,1,22,0,0.0
elasticjob/elastic-job-lite,b022898,./elastic-job-lite-core,511,98,3,98,3,100.0
fhoeben/hsac-fitnesse-fixtures,a64c18d,.,251,49,1,49,1,100.0
hexagonframework/spring-data-ebean,dd11b97,.,48,2,1,41,0,0.0
jhipster/jhipster-registry,00db366,.,53,14,1,14,1,100.0
kevinsawicki/http-request,2d62a3e,./lib,163,2,25,161,25,100.0
ktuukkan/marine-api,af00038,.,926,71,12,71,12,100.0
openpojo/openpojo,9badbcc,.,1185,213,3,213,3,100.0
spring-projects/spring-boot,daa3d45,./spring-boot-project/spring-boot,2255,230,2,230,2,100.0
spring-projects/spring-boot,daa3d45,./spring-boot-project/spring-boot-actuator-autoconfigure,733,166,8,166,8,100.0
spring-projects/spring-boot,daa3d45,./spring-boot-project/spring-boot-test,721,115,1,200,1,100.0
spring-projects/spring-boot,daa3d45,./spring-boot-project/spring-boot-test-autoconfigure,234,103,4,103,4,100.0
spring-projects/spring-data-envers,5637994,.,10,4,2,6,0,0.0
spring-projects/spring-ws,e8d89c9,./spring-ws-core,971,145,15,145,15,100.0
spring-projects/spring-ws,e8d89c9,./spring-ws-security,122,43,2,43,1,50.0
tbsalling/aismessages,7b0c4c7,.,44,18,2,18,2,100.0
tools4j/unix4j,367da7d,./unix4j-core/unix4j-command,290,30,1,41,1,100.0
vmware/admiral,e4b0293,./compute,488,74,1,74,1,100.0
vmware/admiral,e4b0293,./request,325,49,1,49,1,100.0
wikidata/wikidata-toolkit,20de6f7,./wdtk-dumpfiles,50,9,3,11,2,66.66666666666667
wikidata/wikidata-toolkit,20de6f7,./wdtk-util,23,5,2,9,2,100.0
wildfly/wildfly,b19048b,./naming,82,11,44,20,43,97.72727272727273
wildfly/wildfly,b19048b,./security/subsystem,25,10,1,10,1,100.0
wro4j/wro4j,185ab60,./wro4j-core,851,137,15,137,15,100.0
wso2/carbon-apimgt,a82213e,./components/apimgt/org.wso2.carbon.apimgt.core,530,46,1,169,1,100.0
zalando/riptide,8277e11,./riptide-spring-boot-starter,40,25,2,25,2,100.0
